Unnamed: 0,Rk,Team,G,MP,MPgame,FG,FG game,FGA,FGA game,FG%,3P,3P game,3PA,3PA game,3P%,2P,2P game,2PA,2PA game,2P%,FT,FT game,FTA,FTA game,FT%,ORB,ORB game,DRB,DRB game,TRB,TRB game,AST,AST game,STL,STL game,BLK,BLK game,TOV,TOV game,PF,PF game,PTS,PTS game,1
10,11,Indiana Pacers,82,19755,240.9146341,3522,42.95121951,7840,95.6097561,0.449,,0,,0,,3522,42.95121951,7840,95.6097561,0.449,1714,20.90243902,2297,28.01219512,0.746,1409,17.18292683,2584,31.51219512,3993,48.69512195,2009,24.5,924,11.26829268,458,5.585365854,1609,19.62195122,2030,24.75609756,8758,106.804878,0
11,12,Houston Rockets*,82,19780,241.2195122,3535,43.1097561,7325,89.32926829,0.483,,0,,0,,3535,43.1097561,7325,89.32926829,0.483,1656,20.19512195,2103,25.64634146,0.787,1254,15.29268293,2632,32.09756098,3886,47.3902439,1913,23.32926829,616,7.512195122,411,5.012195122,1600,19.51219512,2132,26,8726,106.4146341,0
12,13,Washington Bullets*,82,19730,240.6097561,3514,42.85365854,7479,91.20731707,0.47,,0,,0,,3514,42.85365854,7479,91.20731707,0.47,1622,19.7804878,2264,27.6097561,0.716,1185,14.45121951,2758,33.63414634,3943,48.08536585,1935,23.59756098,642,7.829268293,433,5.280487805,1677,20.45121951,1940,23.65853659,8650,105.4878049,0
13,14,Buffalo Braves,82,19730,240.6097561,3366,41.04878049,7475,91.15853659,0.45,,0,,0,,3366,41.04878049,7475,91.15853659,0.45,1880,22.92682927,2492,30.3902439,0.754,1213,14.79268293,2623,31.98780488,3836,46.7804878,1883,22.96341463,683,8.329268293,392,4.780487805,1699,20.7195122,1842,22.46341463,8612,105.0243902,0
14,15,Phoenix Suns,82,19730,240.6097561,3406,41.53658537,7249,88.40243902,0.47,,0,,0,,3406,41.53658537,7249,88.40243902,0.47,1791,21.84146341,2345,28.59756098,0.764,1059,12.91463415,2493,30.40243902,3552,43.31707317,2100,25.6097561,750,9.146341463,346,4.219512195,1830,22.31707317,2089,25.47560976,8603,104.9146341,0
15,16,New Orleans Jazz,82,19780,241.2195122,3443,41.98780488,7602,92.70731707,0.453,,0,,0,,3443,41.98780488,7602,92.70731707,0.453,1688,20.58536585,2183,26.62195122,0.773,1249,15.23170732,2828,34.48780488,4077,49.7195122,1854,22.6097561,613,7.475609756,357,4.353658537,1706,20.80487805,2099,25.59756098,8574,104.5609756,0
16,17,Boston Celtics*,82,19830,241.8292683,3462,42.2195122,7775,94.81707317,0.445,,0,,0,,3462,42.2195122,7775,94.81707317,0.445,1648,20.09756098,2181,26.59756098,0.756,1241,15.13414634,2966,36.17073171,4207,51.30487805,2010,24.51219512,506,6.170731707,263,3.207317073,1673,20.40243902,2039,24.86585366,8572,104.5365854,0
17,18,Seattle SuperSonics,82,19805,241.5243902,3439,41.93902439,7639,93.15853659,0.45,,0,,0,,3439,41.93902439,7639,93.15853659,0.45,1646,20.07317073,2386,29.09756098,0.69,1355,16.52439024,2433,29.67073171,3788,46.19512195,1772,21.6097561,932,11.36585366,503,6.134146341,1759,21.45121951,2198,26.80487805,8524,103.9512195,0
18,19,Atlanta Hawks,82,19705,240.304878,3279,39.98780488,7176,87.51219512,0.457,,0,,0,,3279,39.98780488,7176,87.51219512,0.457,1836,22.3902439,2451,29.8902439,0.749,1244,15.17073171,2512,30.63414634,3756,45.80487805,1882,22.95121951,733,8.93902439,330,4.024390244,1779,21.69512195,2302,28.07317073,8394,102.3658537,0
19,20,Cleveland Cavaliers*,82,19780,241.2195122,3451,42.08536585,7688,93.75609756,0.449,,0,,0,,3451,42.08536585,7688,93.75609756,0.449,1468,17.90243902,1993,24.30487805,0.737,1312,16,2563,31.25609756,3875,47.25609756,1845,22.5,579,7.06097561,472,5.756097561,1356,16.53658537,1951,23.79268293,8370,102.0731707,0
